execution_id,file_name,framework,fuente,tabla_destino,execution_timestamp,status,m1_tiempo_segundos,m2_calidad_pct,m3_llamadas_api,total_filas,registros_validos,duplicados,llm_response,error_message,escenario
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2018.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:28:26.804000,PROCESADO,17.309467,79.782,1,77,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2019.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:28:42.814000,PROCESADO,12.238815,600.0,1,8,48,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [18557961080416933, 3816063912922519], ""columnas_integer"": [2399881400486936]}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2020.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:29:00.388000,PROCESADO,15.352138,65.937,1,80,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2021.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:29:15.192000,PROCESADO,12.156214,68.791,1,71,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2022.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:29:29.349000,PROCESADO,11.511683,83.491,0,71,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2023.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:29:41.358000,PROCESADO,9.442975,89.381,1,71,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2024.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:29:54.833000,PROCESADO,10.771517,63.774,1,70,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_ESPAC_Tabulados_excel_2025.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_banano_platano_provincia,2026-06-23 17:30:11.049000,PROCESADO,13.43574,61.869,1,69,46,0,"{""tabla_destino"": ""espac_banano_platano_provincia"", ""confianza"": 0.95, ""columnas_double"": [""superficie_produccion_y_ventas_segun_cultivos_permanentes""], ""columnas_integer"": []}",,A
20260623_172605_EA_R01,ESPAC_SIPA_USO_SUELO.xlsx,AgenteCustom,INEC_ESPAC,bd_banano_ec.espac_uso_del_suelo,2026-06-23 17:30:22.542000,PROCESADO,9.067379,64.932,1,4048,3824,0,"{""tabla_destino"": ""espac_uso_del_suelo"", ""confianza"": 0.9, ""columnas_double"": [""superficie_ha""], ""columnas_integer"": [""ano""]}",,A
20260623_172605_EA_R01,SIPA_SIPA_TEMPERATURA_PRECIPITACION.xls,AgenteCustom,SIPA_MAG,bd_banano_ec.sipa_temperatura_precipitacion,2026-06-23 17:30:48.562000,PROCESADO,21.691327,70.297,1,25668,21753,3855,"{""tabla_destino"": ""sipa_temperatura_precipitacion"", ""confianza"": 0.9, ""columnas_double"": [""precipitacion_mm"", ""temperatura_promedio_c""], ""columnas_integer"": [""ano"", ""mes""]}",,A
20260623_172605_EA_R01,FAOSTAT_FAOSTAT_BANANAS_PLANTAINS_1990_2026.json,AgenteCustom,FAOSTAT,bd_banano_ec.faostat_produccion_banano_platano,2026-06-23 17:30:58.888000,PROCESADO,7.88177,64.596,1,210,210,0,"{""tabla_destino"": ""faostat_produccion_banano_platano"", ""confianza"": 0.9, ""columnas_double"": [], ""columnas_integer"": []}",,A
